ACHID	DRUG_ID	CCLE Cell Line Name	Primary Cell Line Name	Compound	Target	Doses (uM)	Activity Data	Activity Error (SD)	FitType	EC50 (µM)	IC50 (µM)	Amax	ActArea
ACH-000522	NA	UMUC3_URINARY_TRACT	UM-UC-3	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"10.5,2.01,15.5,4.41,6.83,7.98,10.5,2.97"	"5.06,10.7,.88,9.45,3.59,6.65,1.98,8.25"	Constant	NA	8	9.167424202	0
ACH-001233	NA	VMRCLCD_LUNG	VMRC-LCD	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"20.4,5.64,2.95,-11,.20,7.60,20.6,-21"	"29.6,4.69,49.3,17.4,10.9,2.65,27.4,23.2"	Constant	NA	8	2.411361456	0.32
ACH-000484	NA	VMRCRCW_KIDNEY	VMRC-RCW	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-2.3,-2.8,22.1,3.14,28.0,-2.6,24.9,-18"	"14.3,3.48,1.28,1.71,11.2,21.2,14.8,2.19"	Constant	NA	8	5.760445118	0.257
ACH-000171	NA	VMRCRCZ_KIDNEY	VMRC-RCZ	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-1.4,-.31,-3.7,2.01,-2.6,6.98,-1.0,-2.4"	"28.3,9.82,4.29,23.9,3.02,5.12,4.86,.80"	Constant	NA	8	-1.375061393	0.1141
ACH-000304	NA	WM115_SKIN	WM-115	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"7.14,5.09,.96,-15,-.044,6.21,-8.1,-21"	"10.4,16.2,7.63,.085,12.3,1.48,9.95,10.4"	Constant	NA	8	-2.788341045	0.44144
ACH-000661	NA	WM1799_SKIN	WM1799	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-3.8,-15,17.9,-5.2,-12,-7.3,9.28,-22"	"6.67,14.8,9.94,.42,11.2,11.9,3.67,28.2"	Constant	NA	8	-4.951524734	0.653
ACH-001239	NA	WM2664_SKIN	WM-266-4	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-1.00,9.30,-12,8.69,-1.0,16.9,-3.0,-9.1"	"4.19,2.33,2.89,9.82,6.65,5.33,13.5,7.12"	Constant	NA	8	1.968271136	0.261
ACH-000827	NA	WM793_SKIN	WM-793	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"14.6,-4.8,1.90,4.12,-3.3,-8.0,-14,-66"	"10.8,1.07,11.0,6.74,10.6,21.4,33.4,14.3"	Sigmoid	9.310123995	6.30160141	-64.99542999	0.961
ACH-000899	NA	WM88_SKIN	WM-88	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	".072,11.2,28.7,16.1,4.37,6.87,4.14,-24"	"6.88,14.8,6.21,22.3,1.79,4.51,1.61,1.90"	Sigmoid	8.55566994	8	-23.57588387	0.24
ACH-000765	NA	WM983B_SKIN	WM-983B	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"9.76,11.8,6.82,12.5,-5.1,-9.3,3.14,-53"	"1.35,8.05,19.9,28.8,3.78,8.42,6.56,3.56"	Sigmoid	7.834203243	7.839232445	-52.67399597	0.674
ACH-000570	NA	YKG1_CENTRAL_NERVOUS_SYSTEM	YKG1	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-5.7,2.39,-2.7,5.36,-3.8,-3.2,-25,-41"	"4.69,2.73,7.63,.72,8.14,5.75,20.0,46.0"	Sigmoid	1.216462493	8	-24.57579803	0.814
ACH-000097	NA	ZR751_BREAST	ZR-75-1	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"37.7,42.5,29.9,16.3,7.70,-11,-5.5,-51"	"31.2,2.71,2.79,2.34,.93,18.6,2.18,24.2"	Sigmoid	8.884562715	8	-44.46012115	0.675
ACH-000828	NA	ZR7530_BREAST	ZR-75-30	L-685458	GS	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-6.0,15.4,1.74,8.27,-2.0,6.01,3.72,-6.0"	"5.17,33.5,5.52,30.3,8.29,35.1,6.17,50.9"	Constant	NA	8	-1.168497086	0.14
ACH-001000	119	1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"6.84,-7.8,8.08,11.2,1.53,-9.5,-11,-21"	"1.22,2.38,6.87,.92,5.01,8.42,3.70,3.42"	Sigmoid	1.240993977	8	-19.92614555	0.493
ACH-001000	1558	1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"6.84,-7.8,8.08,11.2,1.53,-9.5,-11,-21"	"1.22,2.38,6.87,.92,5.01,8.42,3.70,3.42"	Sigmoid	1.240993977	8	-19.92614555	0.493
ACH-000956	119	22RV1_PROSTATE	22Rv1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"9.09,17.4,-5.5,8.12,4.89,-5.0,-5.9,-52"	"5.00,27.6,1.39,21.9,7.01,9.62,9.04,14.1"	Sigmoid	8.40245823	7.847305298	-51.29292297	0.684
ACH-000956	1558	22RV1_PROSTATE	22Rv1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"9.09,17.4,-5.5,8.12,4.89,-5.0,-5.9,-52"	"5.00,27.6,1.39,21.9,7.01,9.62,9.04,14.1"	Sigmoid	8.40245823	7.847305298	-51.29292297	0.684
ACH-000323	119	42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-2.1,26.6,-4.3,21.2,-16,18.8,-13,-35"	"9.26,6.65,3.41,5.71,5.24,6.29,1.32,7.44"	Linear	NA	8	-37.04719543	0.704
ACH-000323	1558	42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-2.1,26.6,-4.3,21.2,-16,18.8,-13,-35"	"9.26,6.65,3.41,5.71,5.24,6.29,1.32,7.44"	Linear	NA	8	-37.04719543	0.704
ACH-000905	119	5637_URINARY_TRACT	5637	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-8.4,3.12,-6.6,-2.1,-17,-19,-53,-74"	"7.26,1.60,1.52,20.3,15.5,1.93,8.82,.86"	Sigmoid	1.811544776	2.30776763	-74.52197266	1.801
ACH-000905	1558	5637_URINARY_TRACT	5637	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-8.4,3.12,-6.6,-2.1,-17,-19,-53,-74"	"7.26,1.60,1.52,20.3,15.5,1.93,8.82,.86"	Sigmoid	1.811544776	2.30776763	-74.52197266	1.801
ACH-000973	119	639V_URINARY_TRACT	639-V	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	".74,-17,3.71,1.11,-.88,.91,9.23,-3.1"	"12.4,.27,4.41,13.9,7.06,2.89,10.2,27.2"	Constant	NA	8	1.585909843	0.2098
ACH-000973	1558	639V_URINARY_TRACT	639-V	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	".74,-17,3.71,1.11,-.88,.91,9.23,-3.1"	"12.4,.27,4.41,13.9,7.06,2.89,10.2,27.2"	Constant	NA	8	1.585909843	0.2098
ACH-000070	119	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-11,4.52,17.9,40.1,-4.0,-17,.22,-67"	"21.6,12.9,9.76,6.44,11.3,16.2,22.8,5.32"	Linear	NA	0.849476227	-65.44864655	0.99
ACH-000070	1558	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-11,4.52,17.9,40.1,-4.0,-17,.22,-67"	"21.6,12.9,9.76,6.44,11.3,16.2,22.8,5.32"	Linear	NA	0.849476227	-65.44864655	0.99
ACH-000411	119	769P_KIDNEY	769-P	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"6.90,12.9,29.3,13.1,-12,-43,-63,-76"	"2.69,12.0,5.55,2.81,2.95,2.88,1.59,1.54"	Sigmoid	0.435292333	1.057461143	-74.29395294	1.94
ACH-000411	1558	769P_KIDNEY	769-P	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"6.90,12.9,29.3,13.1,-12,-43,-63,-76"	"2.69,12.0,5.55,2.81,2.95,2.88,1.59,1.54"	Sigmoid	0.435292333	1.057461143	-74.29395294	1.94
ACH-000649	119	786O_KIDNEY	786-O	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"3.10,2.70,-12,-2.5,-9.2,-13,-18,-55"	"0,0,0,0,0,0,0,0"	Sigmoid	8.749792573	7.178035259	-54.4070015	1.097
ACH-000649	1558	786O_KIDNEY	786-O	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"3.10,2.70,-12,-2.5,-9.2,-13,-18,-55"	"0,0,0,0,0,0,0,0"	Sigmoid	8.749792573	7.178035259	-54.4070015	1.097
ACH-001306	119	8305C_THYROID	8305C	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"10.4,3.98,.72,-2.2,5.75,.93,4.85,-49"	"5.81,7.54,11.3,7.42,1.19,11.9,9.53,4.69"	Sigmoid	8.374241953	8	-48.73649979	0.512
ACH-001306	1558	8305C_THYROID	8305C	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"10.4,3.98,.72,-2.2,5.75,.93,4.85,-49"	"5.81,7.54,11.3,7.42,1.19,11.9,9.53,4.69"	Sigmoid	8.374241953	8	-48.73649979	0.512
ACH-001307	119	8505C_THYROID	8505C	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"6.48,-4.9,10.7,-.031,.58,-1.0,1.95,-31"	"10.4,10.2,4.39,1.00,11.0,5.60,9.06,5.90"	Sigmoid	8.2541076	8	-30.6750164	0.36931
ACH-001307	1558	8505C_THYROID	8505C	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"6.48,-4.9,10.7,-.031,.58,-1.0,1.95,-31"	"10.4,10.2,4.39,1.00,11.0,5.60,9.06,5.90"	Sigmoid	8.2541076	8	-30.6750164	0.36931
ACH-000137	119	8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"2.15,1.63,18.9,.61,18.6,-5.7,-27,-53"	"8.24,13.9,1.57,4.34,17.3,1.07,44.9,29.7"	Linear	NA	5.226619908	-52.84248734	0.857
ACH-000137	1558	8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"2.15,1.63,18.9,.61,18.6,-5.7,-27,-53"	"8.24,13.9,1.57,4.34,17.3,1.07,44.9,29.7"	Linear	NA	5.226619908	-52.84248734	0.857
ACH-000558	119	A172_CENTRAL_NERVOUS_SYSTEM	A172	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"3.48,1.18,.20,2.58,-4.6,-2.1,-8.0,-4.2"	".91,.27,3.61,4.82,4.66,6.00,3.26,8.81"	Constant	NA	8	0.184026733	0.189
ACH-000558	1558	A172_CENTRAL_NERVOUS_SYSTEM	A172	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"3.48,1.18,.20,2.58,-4.6,-2.1,-8.0,-4.2"	".91,.27,3.61,4.82,4.66,6.00,3.26,8.81"	Constant	NA	8	0.184026733	0.189
ACH-000201	119	A204_SOFT_TISSUE	A-204	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"15.1,-1.0,6.49,2.79,-4.6,.39,-3.2,-56"	"4.84,2.66,2.13,4.96,12.1,7.84,16.3,20.9"	Sigmoid	8.038060305	7.399832726	-55.6202507	0.648
ACH-000201	1558	A204_SOFT_TISSUE	A-204	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"15.1,-1.0,6.49,2.79,-4.6,.39,-3.2,-56"	"4.84,2.66,2.13,4.96,12.1,7.84,16.3,20.9"	Sigmoid	8.038060305	7.399832726	-55.6202507	0.648
ACH-000788	119	A2058_SKIN	A2058	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	".40,5.55,3.90,2.40,-5.5,-2.7,-5.5,-21"	"7.54,2.61,3.06,1.56,.60,.086,1.59,10.3"	Sigmoid	8.785079022	8	-20.20003128	0.347
ACH-000788	1558	A2058_SKIN	A2058	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	".40,5.55,3.90,2.40,-5.5,-2.7,-5.5,-21"	"7.54,2.61,3.06,1.56,.60,.086,1.59,10.3"	Sigmoid	8.785079022	8	-20.20003128	0.347
ACH-000740	119	A253_SALIVARY_GLAND	A-253	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"7.45,2.10,7.02,4.67,-.89,-30,-21,-34"	"9.15,3.36,.25,5.67,4.16,6.41,5.63,.76"	Sigmoid	0.343154937	8	-28.99416542	0.8589
ACH-000740	1558	A253_SALIVARY_GLAND	A-253	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"7.45,2.10,7.02,4.67,-.89,-30,-21,-34"	"9.15,3.36,.25,5.67,4.16,6.41,5.63,.76"	Sigmoid	0.343154937	8	-28.99416542	0.8589
ACH-000657	119	A2780_OVARY	A2780	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"1.43,-4.0,4.48,5.25,-1.9,-5.4,-19,-54"	"12.6,13.6,6.92,1.77,7.64,1.21,1.14,3.86"	Sigmoid	8.644919667	7.146677494	-55.1265831	0.843
ACH-000657	1558	A2780_OVARY	A2780	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"1.43,-4.0,4.48,5.25,-1.9,-5.4,-19,-54"	"12.6,13.6,6.92,1.77,7.64,1.21,1.14,3.86"	Sigmoid	8.644919667	7.146677494	-55.1265831	0.843
ACH-000219	119	A375_SKIN	A-375	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-3.2,.65,-.39,-1.0,-2.2,-.38,-6.3,-23"	"1.76,1.09,1.73,.45,.65,1.89,2.21,6.62"	Sigmoid	3.254554749	8	-22.49501038	0.3647
ACH-000219	1558	A375_SKIN	A-375	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-3.2,.65,-.39,-1.0,-2.2,-.38,-6.3,-23"	"1.76,1.09,1.73,.45,.65,1.89,2.21,6.62"	Sigmoid	3.254554749	8	-22.49501038	0.3647
ACH-000681	119	A549_LUNG	A549	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"4.41,-.17,-9.7,-12,-5.8,-25,-29,-77"	"11.7,7.54,13.8,5.52,20.7,2.17,8.75,6.10"	Sigmoid	8.692716262	4.227246284	-75.15564728	1.5867
ACH-000681	1558	A549_LUNG	A549	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"4.41,-.17,-9.7,-12,-5.8,-25,-29,-77"	"11.7,7.54,13.8,5.52,20.7,2.17,8.75,6.10"	Sigmoid	8.692716262	4.227246284	-75.15564728	1.5867
ACH-000052	119	A673_BONE	A-673	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-9.7,14.3,6.31,23.9,3.35,.38,-3.7,7.11"	"8.36,9.47,11.8,18.8,10.9,12.9,3.18,9.43"	Constant	NA	8	4.408538342	0.134
ACH-000052	1558	A673_BONE	A-673	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-9.7,14.3,6.31,23.9,3.35,.38,-3.7,7.11"	"8.36,9.47,11.8,18.8,10.9,12.9,3.18,9.43"	Constant	NA	8	4.408538342	0.134
ACH-000046	119	ACHN_KIDNEY	ACHN	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"12.4,5.71,4.87,3.28,-3.9,-25,-32,-45"	".27,4.69,3.43,2.42,.77,7.33,.24,1.07"	Sigmoid	1.667333007	8	-45.20761108	1.059
ACH-000046	1558	ACHN_KIDNEY	ACHN	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"12.4,5.71,4.87,3.28,-3.9,-25,-32,-45"	".27,4.69,3.43,2.42,.77,7.33,.24,1.07"	Sigmoid	1.667333007	8	-45.20761108	1.059
ACH-000105	119	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"2.97,.96,-1.2,7.74,-1.8,-6.2,-4.9,-59"	"14.0,9.86,5.35,5.01,18.6,9.20,21.9,10.5"	Sigmoid	8.910315347	7.289489746	-59.28141785	0.731
ACH-000105	1558	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"2.97,.96,-1.2,7.74,-1.8,-6.2,-4.9,-59"	"14.0,9.86,5.35,5.01,18.6,9.20,21.9,10.5"	Sigmoid	8.910315347	7.289489746	-59.28141785	0.731
ACH-000838	119	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"5.01,30.1,-9.2,6.18,-12,28.8,-11,-91"	"20.2,.88,6.92,7.40,18.3,3.24,0,0"	Linear	NA	0.256446651	-92.51835632	1.232
ACH-000838	1558	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"5.01,30.1,-9.2,6.18,-12,28.8,-11,-91"	"20.2,.88,6.92,7.40,18.3,3.24,0,0"	Linear	NA	0.256446651	-92.51835632	1.232
ACH-000940	119	AN3CA_ENDOMETRIUM	AN3 CA	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"14.6,19.6,15.2,16.7,11.4,1.04,1.40,-1.4"	"7.87,19.6,14.6,12.4,10.2,8.88,4.89,21.5"	Constant	NA	8	7.687794685	0.014
ACH-000940	1558	AN3CA_ENDOMETRIUM	AN3 CA	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"14.6,19.6,15.2,16.7,11.4,1.04,1.40,-1.4"	"7.87,19.6,14.6,12.4,10.2,8.88,4.89,21.5"	Constant	NA	8	7.687794685	0.014
ACH-000222	119	ASPC1_PANCREAS	AsPC-1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-7.9,12.8,-5.6,-9.1,5.01,1.64,-12,-55"	"9.11,12.3,21.2,11.5,15.2,1.97,5.37,10.5"	Linear	NA	2.785627519	-59.5316391	0.896
ACH-000222	1558	ASPC1_PANCREAS	AsPC-1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-7.9,12.8,-5.6,-9.1,5.01,1.64,-12,-55"	"9.11,12.3,21.2,11.5,15.2,1.97,5.37,10.5"	Linear	NA	2.785627519	-59.5316391	0.896
ACH-000248	119	AU565_BREAST	AU565	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-12,-9.0,-15,-33,-55,-79,-90,-96"	"4.76,.47,5.16,.91,11.9,1.25,.62,.46"	Sigmoid	0.204432026	0.183209524	-95.35471344	3.89
ACH-000248	1558	AU565_BREAST	AU565	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-12,-9.0,-15,-33,-55,-79,-90,-96"	"4.76,.47,5.16,.91,11.9,1.25,.62,.46"	Sigmoid	0.204432026	0.183209524	-95.35471344	3.89
ACH-001015	119	AZ521_STOMACH	AZ-521	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-2.2,1.45,-4.9,-4.6,-21,-31,-42,-62"	"23.9,35.0,33.8,17.8,27.1,11.4,.11,4.33"	Linear	NA	1.659918428	-61.68485641	1.677
ACH-001015	1558	AZ521_STOMACH	AZ-521	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-2.2,1.45,-4.9,-4.6,-21,-31,-42,-62"	"23.9,35.0,33.8,17.8,27.1,11.4,.11,4.33"	Linear	NA	1.659918428	-61.68485641	1.677
ACH-000456	119	BCPAP_THYROID	B-CPAP	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"1.43,2.96,2.73,-.96,.029,-3.6,-3.3,-18"	"2.87,6.33,.84,1.01,2.69,.72,2.36,.66"	Constant	NA	8	-1.448807597	0.2586
ACH-000456	1558	BCPAP_THYROID	B-CPAP	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"1.43,2.96,2.73,-.96,.029,-3.6,-3.3,-18"	"2.87,6.33,.84,1.01,2.69,.72,2.36,.66"	Constant	NA	8	-1.448807597	0.2586
ACH-000080	119	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"14.7,22.2,-15,14.0,-6.7,16.6,-3.6,6.46"	"9.42,6.38,8.75,7.08,.35,8.44,12.3,14.9"	Constant	NA	8	8.862740517	0.253
ACH-000080	1558	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"14.7,22.2,-15,14.0,-6.7,16.6,-3.6,6.46"	"9.42,6.38,8.75,7.08,.35,8.44,12.3,14.9"	Constant	NA	8	8.862740517	0.253
ACH-000792	119	BFTC909_KIDNEY	BFTC-909	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"8.65,-1.7,2.41,8.12,3.86,-.082,-9.5,-13"	"4.44,5.62,7.07,8.69,2.53,10.9,3.82,7.46"	Constant	NA	8	2.13131547	0.24282
ACH-000792	1558	BFTC909_KIDNEY	BFTC-909	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"8.65,-1.7,2.41,8.12,3.86,-.082,-9.5,-13"	"4.44,5.62,7.07,8.69,2.53,10.9,3.82,7.46"	Constant	NA	8	2.13131547	0.24282
ACH-001017	119	BGC823_STOMACH	BGC-823	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"10.2,3.11,3.67,1.25,2.12,-2.3,-1.6,-23"	"1.54,2.51,10.9,4.18,.45,2.30,3.36,.19"	Sigmoid	8.728100215	8	-22.53568268	0.269
ACH-001017	1558	BGC823_STOMACH	BGC-823	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"10.2,3.11,3.67,1.25,2.12,-2.3,-1.6,-23"	"1.54,2.51,10.9,4.18,.45,2.30,3.36,.19"	Sigmoid	8.728100215	8	-22.53568268	0.269
ACH-000245	119	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-4.3,-2.7,.33,-1.3,-1.3,-4.4,-7.4,-69"	"2.58,4.77,2.38,5.21,5.13,2.44,7.13,6.31"	Sigmoid	5.392519474	5.89598608	-68.45102692	0.904
ACH-000245	1558	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-4.3,-2.7,.33,-1.3,-1.3,-4.4,-7.4,-69"	"2.58,4.77,2.38,5.21,5.13,2.44,7.13,6.31"	Sigmoid	5.392519474	5.89598608	-68.45102692	0.904
ACH-000402	119	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"22.3,6.77,8.81,2.14,12.3,5.08,17.5,-39"	".60,6.39,10.3,17.3,2.39,11.5,5.48,15.9"	Sigmoid	8.000893639	8	-38.82792282	0.39
ACH-000402	1558	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"22.3,6.77,8.81,2.14,12.3,5.08,17.5,-39"	".60,6.39,10.3,17.3,2.39,11.5,5.48,15.9"	Sigmoid	8.000893639	8	-38.82792282	0.39
ACH-000536	119	BT20_BREAST	BT-20	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"7.77,-7.9,-1.2,8.03,-8.3,6.52,-15,-48"	"28.0,16.1,34.7,39.0,19.7,36.3,18.8,7.09"	Constant	NA	8	-14.30575657	0.804
ACH-000536	1558	BT20_BREAST	BT-20	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"7.77,-7.9,-1.2,8.03,-8.3,6.52,-15,-48"	"28.0,16.1,34.7,39.0,19.7,36.3,18.8,7.09"	Constant	NA	8	-14.30575657	0.804
ACH-000927	119	BT474_BREAST	BT-474	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"8.41,-17,-31,-43,-59,-83,-96,-120"	"28.5,21.1,13.7,15.8,16.8,.15,1.00,.41"	Sigmoid	8.020292071	0.116183236	-118.4226532	4.49
ACH-000927	1558	BT474_BREAST	BT-474	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"8.41,-17,-31,-43,-59,-83,-96,-120"	"28.5,21.1,13.7,15.8,16.8,.15,1.00,.41"	Sigmoid	8.020292071	0.116183236	-118.4226532	4.49
ACH-000288	119	BT549_BREAST	BT-549	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"2.96,2.36,-32,7.56,5.21,-12,-32,-48"	"11.2,16.4,63.7,7.34,4.25,14.1,65.8,3.51"	Constant	NA	8	-0.168496042	1.24
ACH-000288	1558	BT549_BREAST	BT-549	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"2.96,2.36,-32,7.56,5.21,-12,-32,-48"	"11.2,16.4,63.7,7.34,4.25,14.1,65.8,3.51"	Constant	NA	8	-0.168496042	1.24
ACH-000535	119	BXPC3_PANCREAS	BxPC-3	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"28.7,-12,1.76,-6.2,-5.2,-34,-31,-61"	"21.2,3.22,8.68,12.7,12.3,6.72,15.5,2.84"	Sigmoid	4.018966198	4.599786282	-59.76509476	1.494
ACH-000535	1558	BXPC3_PANCREAS	BxPC-3	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"28.7,-12,1.76,-6.2,-5.2,-34,-31,-61"	"21.2,3.22,8.68,12.7,12.3,6.72,15.5,2.84"	Sigmoid	4.018966198	4.599786282	-59.76509476	1.494
ACH-000009	119	C2BBE1_LARGE_INTESTINE	C2BBe1	Lapatinib	EGFR	".0025,.0080,.025,.080,.25,.80,2.53,8"	"1.96,16.9,10.6,.83,-29,-27,-36,-61"	"4.93,5.07,20.8,1.83,1.21,16.3,11.9,8.58"	Sigmoid	1.169876575	4.09934473	-57.35443878	1.53
